"Colony","Wave","Study","Yard","Treatment","Inoculated","Alive","SSMites","AWMites","CCMites","ABees","CBrood","HStores"
"TO122",14,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO122",15,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO122",16,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO122",17,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",18,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",19,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",20,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",21,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",22,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",23,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO122",24,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO123",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",2,"TO","Amy","HV","No",TRUE,2,NA,NA,NA,NA,NA
"TO123",3,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",4,"TO","Amy","HV","No",TRUE,2,NA,NA,6.55,2.75,3.9
"TO123",5,"TO","Amy","HV","No",TRUE,3,NA,NA,NA,NA,NA
"TO123",6,"TO","Amy","HV","No",TRUE,14,NA,3,7.05,4.35,6.3
"TO123",7,"TO","Amy","HV","No",TRUE,NA,7,NA,NA,NA,NA
"TO123",8,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",9,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",10,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",11,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",12,"TO","Amy","HV","No",TRUE,NA,NA,4,NA,NA,NA
"TO123",13,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",14,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",15,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",16,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
"TO123",17,"TO","Amy","HV","No",TRUE,264,NA,NA,NA,NA,NA
"TO123",18,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",19,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",20,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",21,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",22,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",23,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO123",24,"TO","Amy","HV","No",FALSE,NA,NA,NA,NA,NA,NA
"TO124",1,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",2,"TO","Amy","HV","Yes",TRUE,3,NA,NA,NA,NA,NA
"TO124",3,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",4,"TO","Amy","HV","Yes",TRUE,21,NA,NA,5.25,4.5,1.85
"TO124",5,"TO","Amy","HV","Yes",TRUE,35,NA,NA,NA,NA,NA
"TO124",6,"TO","Amy","HV","Yes",TRUE,14,NA,0,7.95,4.5,2.2
"TO124",7,"TO","Amy","HV","Yes",TRUE,NA,9,NA,NA,NA,NA
"TO124",8,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",9,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",10,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",11,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",12,"TO","Amy","HV","Yes",TRUE,NA,NA,2,NA,NA,NA
"TO124",13,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",14,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",15,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",16,"TO","Amy","HV","Yes",TRUE,NA,NA,NA,NA,NA,NA
"TO124",17,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",18,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",19,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",20,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",21,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",22,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",23,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO124",24,"TO","Amy","HV","Yes",FALSE,NA,NA,NA,NA,NA,NA
"TO125",1,"TO","Amy","HV","No",TRUE,NA,NA,NA,NA,NA,NA
